file_path,description
Corelink Expansion.md,Analysis of 3 agent plans for Corelink expansion: chat grabber processor and PWA launcher
HTML Grab DesignSPEC.txt,Design specification for Kimi transcript extractor with GUI and HTML selectors
Meta convo analyser transcript.txt,Conversation about stateless AI agents with pseudo-state and context management
python_3.14_full_env_report.txt,Python 3.14 environment report showing installed packages and system info
Synthesizing Plan.md,Charter for a synthesizer system to prevent insight loss across agent conversations
test agent summarisation packet_.txt,Transcript of agent handoff for TaskBot system design with ADHD constraints
The_Soul_Algorithm.md,Master blueprint v1.2 for meta-aware agent systems with roles and workflows
WATCH_INDEX.csv,Master repository manifest tracking all files and their descriptions
Agents/Initialization Manifesto.txt,pending
Agents/learning.json,pending
Agents/Advisor.v1/ID.json,pending
Agents/Advisor.v1/ID.v002.json,pending
Agents/Advisor.v1/L02.json,pending
Agents/Advisor.v1/README.md,pending
Agents/Advisor.v1/SS.json,pending
Outputs/Blueprinting Documentation.md,pending
Outputs/CharterSystemErrorlogDUMP.txt,pending
Outputs/Condensed SystemBrief.txt,pending
Outputs/meta_designerinitialization_v1.2.json,pending
Outputs/MetaArchetect.txt,pending
Outputs/system_initialization_briefcurrent.md,pending
Outputs/TrainingOBJReport.txt,pending
Outputs/Learning OBJ from strings/advisor 1 full log .txt,pending
Outputs/Learning OBJ from strings/Advisor Learning Reports.pdf,pending
Outputs/Learning OBJ from strings/advisor_fragments_semantic.txt,pending
Outputs/Learning OBJ from strings/advisor_fragments_sentence.txt,pending
Outputs/Learning OBJ from strings/advisor_learning_weights.csv,pending
Outputs/Learning OBJ from strings/advisor_learningOBJ.json,pending
Outputs/Learning OBJ from strings/advisor1_chat.json,pending
Outputs/Learning OBJ from strings/advisor1_code_map.json,pending
Outputs/Learning OBJ from strings/learningobj.json,pending
Outputs/Learning OBJ from strings/LearningOBJ1.json,pending
Outputs/Learning OBJ from strings/LearningOBJCHATGPTRESEARCH.pdf,pending
Outputs/Learning OBJ from strings/TrainingOBJReport.txt,pending
Outputs/OK Computer/chat_processor_gui.py,pending
Outputs/OK Computer/chat_processor_v2.py,pending
Outputs/OK Computer/GUI_INTEGRATION_SUMMARY.md,pending
Outputs/OK Computer/IMPLEMENTATION_SUMMARY.md,pending
Outputs/OK Computer/test_chat_processor.py,pending
Reports/Combined_LLM_Summaries.txt,pending
Reports/CORELINKREPORT).md,pending
Reports/Designing an Advisor Agent for a Multi-Agent LLM System (Phase 1 Exploration).pdf,pending
Reports/Exhaustive Survey of Free AI‑Powered Context Cleaning Pipelines for Voice Input.pdf,pending
Reports/GPTOracleExperiment1Chatlog,pending
Reports/ID Match DIagnostic chatlog.txt,pending
Reports/Kimi K2 Operational Modes_ A Design Guide for Multi-Candidate Generation and Synthesis.pdf,pending
Reports/Kimi K2 Optimization Manual_ Distillation, Meta-Prompting, and Long-Context Engineering.pdf,pending
Reports/learning.json,pending
Reports/LearningOBJCHATGPTRESEARCH.pdf,pending
