title,normalized_title,id,create_time,update_time,normalized_time,normtimename,source_part,part_source,mapping_entries,turns,first_preview,last_preview,status,has_user_messages,has_assistant_messages,total_messages,exchanges
Load system memory,load_system_memory,69065687-3180-8323-98df-2a035e1ca50f,1762023048.029482,1762025953.400488,1762024500.714985,This_is_normalized.0615.021125,part_1.json,1,186,50,Load system memory.,"s are specific to **custom GPT**.

Let me know if you need any further adjustments or clarification!",success,True,True,174,50
Google Drive API issue,google_drive_api_issue,690617af-24d8-8324-a6be-21588268d532,1762007000.832269,1762023067.817975,1762015034.3251219,This_is_normalized.0337.021125,part_1.json,1,123,36,You're running into one of the most deceptive Google Drive API behaviors — when the OAuth scope or `,"ty. 

Let me know if this matches what you're looking for, or if any further adjustments are needed.",success,True,True,95,36
Mirror mode test,mirror_mode_test,690650aa-65b4-8324-ad97-6b6a37a51abd,1762021547.401126,1762022393.145752,1762021970.273439,This_is_normalized.0532.021125,part_1.json,1,29,9,"Hello, are you ready to do a test on mirror mode? Do you know what you need to do?","follow the process you're expecting and confirm before each step.

Does that clarify things for you?",success,True,True,22,9
Drive read write test,drive_read_write_test,69060191-c738-8320-8d2e-1e64609cfc6f,1762001298.930298,1762021292.078482,1762011295.50439,This_is_normalized.0234.021125,part_1.json,1,254,67,"All right, I just set you up. You should be working. So are you aware of what you can do and what yo","to **Google Sheets**.

Let me know if you need any additional edits or if something's still unclear!",success,True,True,170,67
Mirror Mode Setup,mirror_mode_setup,69062c16-44a4-8320-9ada-cad223c199e3,1762012183.372761,1762021149.616228,1762016666.4944944,This_is_normalized.0404.021125,part_1.json,1,228,64,"🔁 Mirror Mode — Full Setup, Plans, and Troubleshooting History

I'm setting up **Mirror Mode**, a cu","how **Mirror Mode** should function. Let me know if this works, or if you need any further changes!",success,True,True,173,64
Drive access configuration,drive_access_configuration,69062719-fcc0-8322-a126-772bcb8760c2,1762010907.126636,1762011884.710035,1762011395.9183354,This_is_normalized.0236.021125,part_1.json,1,71,18,"Google Drive Access Rules
The GPT has access to Google Drive in two different ways:

Pipedream Webho",t to run a final end-to-end test with `Start Mirror Mode (write)` to confirm everything's locked in?,success,True,True,49,18
Pipedream OAuth connection fix,pipedream_oauth_connection_fix,69061fcc-3f1c-8322-98c5-1c2de7be4f78,1762009037.391915,1762010819.018575,1762009928.205245,This_is_normalized.0212.021125,part_1.json,1,55,20,You are a web-search-enabled assistant. Your task is to investigate and explain why the OAuth connec,the GPT switches paths — so you can verify it behaves the way you want. Would you like that example?,success,True,True,43,20
Mirror mode activation,mirror_mode_activation,6905dc31-f2e0-8322-b95f-088bf1ce0520,1761991743.780153,1762002032.255079,1761996888.017616,This_is_normalized.2234.011125,part_1.json,1,207,60,Start mirror mode right from the phone. I'm on the phone.,"ppens through `/prototype/system/memory/MirrorMode`, with the Drive webhook as optional persistence.",success,True,True,123,60
Drive access test setup,drive_access_test_setup,6905e95b-a7e4-8323-b262-df9b48a0b73c,1761995101.120763,1762000265.530821,1761997683.325792,This_is_normalized.2248.011125,part_1.json,1,179,59,"# GPT NAME: MirrorMode

You are a utility GPT named **MirrorMode**, designed to work with Google D","- Can later be wrapped in an OpenAPI schema and deployed as an Action in Mirror Mode GPT.

---
```",success,True,True,138,59
Start mirror mode,start_mirror_mode,6905e0c3-0cb4-8322-9957-0550f422cdec,1761992900.295831,1761995029.121283,1761993964.7085571,This_is_normalized.2146.011125,part_1.json,1,80,27,Start mirror mode. The data that you should be pulling to make a canvas is in prototype system memor,"umptions.

Let me know if you want a **variant for split GPTs** (e.g., MirrorReader + MirrorWriter).",success,True,True,66,27
Mirror mode read-only session,mirror_mode_read_only_session,6905dc81-7640-8323-a94a-d1fc48a1e13d,1761991811.30182,1761992852.788133,1761992332.0449765,This_is_normalized.2118.011125,part_1.json,1,31,10,"Start mirror mode session in read mode. You are the PC, read only.","ability.  

Ready to display whatever you tell me next — just say “show canvas” or specify the view.",success,True,True,24,10
Mirror mode write activation,mirror_mode_write_activation,6905d81f-d828-8323-b98a-d84aa639da1a,1761990690.349943,1761991714.911176,1761991202.6305594,This_is_normalized.2100.011125,part_1.json,1,78,17,"System memory load + mirror mode activation

You are the Prototype system. Load the full system memo",t mirror mode (write)` in the new phone chat? It’s useful to confirm that it’s connecting correctly.,success,True,True,54,17
Load system memory,load_system_memory,6905d8ee-2d80-8323-bdb2-db037fe26729,1761990897.140021,1761991499.097051,1761991198.118536,This_is_normalized.2059.011125,part_1.json,1,40,13,Load system memory.,"feed from Phone — read-only)*  

[Awaiting current mirrored output from Phone (WRITE) session…]

---",success,True,True,32,13
PowerShell module docs,powershell_module_docs,6903598c-3b0c-8323-b2a8-797aeb5ebf2d,1761827216.019159,1761990681.853431,1761908948.936295,This_is_normalized.2209.311025,part_1.json,1,656,193,"> I’m Josh, continuing the Windows Documentation & Core System setup from my previous session.
The c",g PC prompt** (“Mirror Mode — READ”) so both sides can pair immediately when you start the new chat?,success,True,True,394,193
Run mirror script,run_mirror_script,6905ce3e-d108-8321-ba19-ffe61da5a382,1761988182.567879,1761990346.776509,1761989264.672194,This_is_normalized.2027.011125,part_1.json,1,18,3,Run mirror,"ead Mode (Prototype)** canvas.  
Use your refresh hotkey to pull the latest state whenever you want.",success,True,True,8,3
Run AHK script,run_ahk_script,6905cbcd-900c-8322-85de-19b74bf0dc61,1761987538.025745,1761988394.523779,1761987966.274762,This_is_normalized.2006.011125,part_1.json,1,29,8,Here’s exactly what to do to **run your AutoHotkey (AHK) script** that’s already in your root `C:\So,"automatically:
```ahk
^!r::Reload
```

Then you can tweak and reload without touching the tray menu.",success,True,True,19,8
